Jitter:DDP_Low,Jitter:DDP_Med,Jitter:DDP_High,MDVP:APQ_Low,MDVP:APQ_Med,MDVP:APQ_High,HNR_Low,HNR_Med,HNR_High,PPE_Low,PPE_Med,PPE_High,Shimmer_Ratio_Low,Shimmer_Ratio_Med,Shimmer_Ratio_High
0.0,0.10336,0.06334,0.0,0.0,0.0958,0.0771,0.63561,0.0,0.0,0.0,0.27181,0.22163,0.12189,0.0
0.0,0.0,0.11348,0.0,0.0,0.21268,0.21988,0.0,0.0,0.0,0.0,0.52388,0.13121,0.48013,0.0
0.0,0.0,0.15552,0.0,0.0,0.14759,0.1051,0.50329,0.0,0.0,0.0,0.41576,0.01401,0.94449,0.0
0.0,0.0,0.133,0.0,0.0,0.16282,0.10561,0.50087,0.0,0.0,0.0,0.52481,0.0,0.86108,0.04094
0.0,0.0,0.21411,0.0,0.0,0.2208,0.17854,0.15622,0.0,0.0,0.0,0.6489,0.0,0.45112,0.16176
0.0,0.0,0.11242,0.0,0.0,0.11856,0.05182,0.75511,0.0,0.0,0.0,0.49121,0.24755,0.01919,0.0
0.51927,0.0,0.0,0.42909,0.08301,0.0,0.0,0.06337,0.25552,0.0,0.69947,0.05313,0.32783,0.0,0.0
0.58349,0.0,0.0,0.51491,0.0,0.0,0.0,0.0,0.43851,0.2026,0.46484,0.0,0.0,0.98639,0.00401
0.0,0.67372,0.02305,0.09846,0.78958,0.0,0.02001,0.90544,0.0,0.0,0.36331,0.11256,0.11989,0.52497,0.0
0.0,0.8655,0.0095,0.0,0.44524,0.05171,0.01634,0.92276,0.0,0.0,0.0,0.23194,0.15424,0.38888,0.0
0.0,0.96513,0.00246,0.0,0.94075,0.00552,0.07087,0.66505,0.0,0.0,0.05498,0.16708,0.18664,0.26052,0.0
0.0,0.76339,0.01671,0.0,0.65171,0.03246,0.04918,0.76758,0.0,0.0,0.0,0.24565,0.08327,0.67006,0.0
0.72294,0.0,0.0,0.61969,0.0,0.0,0.0,0.0,0.33005,0.37148,0.01873,0.0,0.05654,0.77599,0.0
0.46422,0.0,0.0,0.0262,0.94402,0.0,0.0,0.06236,0.25579,0.0,0.9009,0.01752,0.63243,0.0,0.0
0.70642,0.0,0.0,0.52394,0.0,0.0,0.0,0.05133,0.2588,0.16019,0.57686,0.0,0.0,0.0,0.5929
0.51009,0.0,0.0,0.42186,0.09846,0.0,0.0,0.0,0.28188,0.0,0.31207,0.12162,0.11147,0.55835,0.0
0.21468,0.53293,0.0,0.0,0.77738,0.02075,0.0,0.91707,0.02262,0.0,0.59087,0.07233,0.40873,0.0,0.0
0.0,0.74097,0.0183,0.0,0.0,0.1342,0.12526,0.40804,0.0,0.0,0.0,0.71025,0.70909,0.0,0.0
0.0,0.1457,0.06034,0.0,0.0,0.32974,0.35217,0.0,0.0,0.0,0.0,0.55016,0.59888,0.0,0.0
0.0,0.08593,0.06457,0.0,0.0,0.20783,0.36148,0.0,0.0,0.0,0.0,0.3842,0.72502,0.0,0.0
0.0,0.0,0.0943,0.0,0.0,0.1865,0.33341,0.0,0.0,0.0,0.0,0.51404,0.6763,0.0,0.0
0.09725,0.78842,0.0,0.0,0.0,0.22582,0.18997,0.10218,0.0,0.0,0.0,0.19717,0.2983,0.0,0.0
0.16147,0.6487,0.0,0.0,0.0,0.20248,0.0,0.87193,0.03494,0.0,0.0,0.27493,0.12256,0.51439,0.0
0.1578,0.65669,0.0,0.0,0.0,0.16282,0.12189,0.42397,0.0,0.0,0.0,0.17854,0.05108,0.79763,0.0
0.0,0.02615,0.06879,0.2972,0.36486,0.0,0.0,0.41615,0.15928,0.0,0.6282,0.06573,0.62144,0.0,0.0
0.0,0.50436,0.03501,0.0,0.0,0.16349,0.00141,0.99326,2e-05,0.0,0.56796,0.07638,0.51007,0.0,0.0
0.00201,0.99039,0.00037,0.0,0.95871,0.00385,0.0,0.0,0.34875,0.31202,0.1758,0.0,0.56829,0.0,0.0
0.00276,0.99025,0.00026,0.00255,0.99201,0.00024,0.0,0.0,0.27677,0.20768,0.45141,0.0,0.50681,0.0,0.0
0.50092,0.0,0.0,0.14905,0.68147,0.0,0.0,0.0,0.35441,0.57214,0.0,0.0,0.60093,0.0,0.0
0.0,0.77086,0.01619,0.02439,0.94788,0.0,0.0,0.0,0.32777,0.39335,0.0,0.0,0.63545,0.0,0.0
0.46055,0.0029,0.0,0.92502,0.0,0.0,0.0,0.0,0.42784,0.72557,0.0,0.0,0.11807,0.53221,0.0
0.6367,0.0,0.0,0.96116,0.0,0.0,0.0,0.0,0.80779,0.83974,0.0,0.0,0.23571,0.06609,0.0
0.75229,0.0,0.0,0.79042,0.0,0.0,0.0,0.0,0.79274,0.65367,0.0,0.0,0.16464,0.34766,0.0
0.86422,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.96689,0.92241,0.0,0.0,0.27475,0.0,0.0
0.85505,0.0,0.0,0.99368,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.30028,0.0,0.0
0.79817,0.0,0.0,0.785,0.0,0.0,0.0,0.0,0.88004,0.91258,0.0,0.0,0.28088,0.0,0.0
0.08991,0.80439,0.0,0.19332,0.58687,0.0,0.0,0.6218,0.10317,0.18875,0.50141,0.0,0.0,0.45982,0.15919
0.24404,0.46906,0.0,0.30262,0.35328,0.0,0.0,0.04163,0.26145,0.13932,0.63198,0.0,0.16252,0.35608,0.0
0.53211,0.0,0.0,0.57453,0.0,0.0,0.0,0.0,0.42447,0.34861,0.07915,0.0,0.19375,0.23233,0.0
0.44954,0.02196,0.0,0.41554,0.11197,0.0,0.0,0.0,0.38542,0.22313,0.4106,0.0,0.22224,0.11944,0.0
0.46422,0.0,0.0,0.53568,0.0,0.0,0.0,0.0,0.43213,0.42472,0.0,0.0,0.08283,0.67182,0.0
0.63486,0.0,0.0,0.53478,0.0,0.0,0.0,0.0,0.39847,0.52384,0.0,0.0,0.15938,0.36851,0.0
0.44404,0.03393,0.0,0.62602,0.0,0.0,0.0,0.78231,0.05939,0.6623,0.0,0.0,0.0,0.0,0.68975
0.51193,0.0,0.0,0.51942,0.0,0.0,0.0,0.64554,0.0967,0.51267,0.0,0.0,0.0,0.0,0.47617
0.77431,0.0,0.0,0.71635,0.0,0.0,0.0,0.0,0.29949,0.68611,0.0,0.0,0.0,0.29442,0.20794
0.73211,0.0,0.0,0.73351,0.0,0.0,0.0,0.01455,0.26884,0.61093,0.0,0.0,0.0,0.0,0.42887
0.67706,0.0,0.0,0.61156,0.0,0.0,0.0,0.15833,0.22961,0.64685,0.0,0.0,0.0,0.0,0.38968
0.86789,0.0,0.0,0.87263,0.0,0.0,0.0,0.0,0.43058,0.72002,0.0,0.0,0.0,0.84797,0.0448
0.44404,0.03393,0.0,0.35501,0.24131,0.0,0.0,0.63986,0.09825,0.40251,0.0,0.0,0.0,0.93962,0.0178
0.68991,0.0,0.0,0.38482,0.17761,0.0,0.0,0.03494,0.26327,0.43596,0.0,0.0,0.0,0.07847,0.27158
0.6,0.0,0.0,0.12737,0.7278,0.0,0.0,0.0,0.27823,0.60524,0.0,0.0,0.0,0.0,0.44247
0.65321,0.0,0.0,0.19151,0.59073,0.0,0.0,0.01521,0.26866,0.58899,0.0,0.0,0.0,0.0,0.37389
0.62018,0.0,0.0,0.1346,0.71236,0.0,0.0,0.12824,0.23782,0.4999,0.0,0.0,0.0,0.0,0.5271
0.46606,0.0,0.0,0.0,0.89138,0.01012,0.0,0.0,0.30505,0.31142,0.17739,0.0,0.0,0.0,0.33626
0.0,0.26027,0.05225,0.0,0.78366,0.02016,0.07747,0.63388,0.0,0.0,0.0,0.36796,0.0,0.36212,0.18799
0.0,0.0,0.07811,0.0,0.43627,0.05254,0.0966,0.54347,0.0,0.0,0.0,0.45236,0.0,0.0,0.32236
0.0,0.23537,0.05401,0.0,0.12388,0.08166,0.04859,0.77035,0.0,0.0,0.0,0.42299,0.0,0.30476,0.20489
0.0,0.62889,0.02621,0.0,0.89048,0.01021,0.0,0.75522,0.06678,0.0,0.0,0.36124,0.07411,0.70638,0.0
0.0,0.36737,0.04469,0.0,0.72083,0.02602,0.0,0.82678,0.04725,0.0,0.0,0.39647,0.01127,0.95536,0.0
0.0,0.07597,0.06527,0.0,0.37792,0.05798,0.03115,0.85279,0.0,0.0,0.0,0.36706,0.0,0.0,0.3445
0.5633,0.0,0.0,0.40108,0.14286,0.0,0.0,0.0,0.31646,0.61889,0.0,0.0,0.03531,0.86009,0.0
0.52844,0.0,0.0,0.43902,0.06178,0.0,0.0,0.0,0.36973,0.63869,0.0,0.0,0.0,0.89398,0.03124
0.53578,0.0,0.0,0.56549,0.0,0.0,0.0,0.0,0.34401,0.60752,0.0,0.0,0.00578,0.97709,0.0
0.40917,0.10978,0.0,0.58446,0.0,0.0,0.0,0.0,0.35386,0.67233,0.0,0.0,0.0,0.69656,0.08942
0.74679,0.0,0.0,0.73171,0.0,0.0,0.0,0.0,0.395,0.80577,0.0,0.0,0.00482,0.98091,0.0
